config,trades,wins,win_rate,net,pf,avg_win,avg_loss
v1.11_baseline,231.0,54.0,23.376623376623375,-777.4160331835086,0.5313885348098136,16.325218520784635,-9.372756120372197
v1.12_fixed,302.0,108.0,35.76158940397351,-910.9217125675551,0.5657896409928749,10.990364847341509,-10.813820185981642
v1.12_fixed_conservative,33.0,7.0,21.21212121212121,-249.62249728842266,0.27013058206861035,13.198186813247275,-13.154223268505907
