run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmpE1is_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-22 14:40:00,BUY,4191.502,4182.927,2026-06-22 15:19:29,4190.554,sl 4190.576,-0.95,499.05,8.575000000000728,-0.1107871720116524,39.48333333333333,4190.576,True,sl,swing_confirm_E1
cmpE1is_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-23 13:50:00,SELL,4130.978,4138.926,2026-06-23 13:53:23,4138.941,sl 4138.926,-7.96,491.09,7.94800000000032,-1.0015098137895924,3.3833333333333333,4138.926,False,sl,swing_confirm_E1
cmpE1is_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-24 20:20:00,SELL,3993.112,4010.341,2026-06-24 23:33:42,4005.364,sl 4005.210,-12.25,478.84,17.228999999999814,-0.7110105055429875,193.7,4005.21,True,sl,swing_confirm_E1
cmpE1is_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-25 08:25:00,SELL,3997.076,4007.012,2026-06-25 11:43:15,3986.052,sl 3985.939,11.03,489.87,9.93600000000015,1.110104669887262,198.25,3985.939,True,sl,swing_confirm_E1
cmpE1is_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-26 07:05:00,SELL,4029.262,4038.544,2026-06-26 07:28:09,4038.765,sl 4038.544,-9.51,480.36,9.281999999999698,-1.0245636716225284,23.15,4038.544,False,sl,swing_confirm_E1
cmpE1is_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-06-29 17:10:00,SELL,4030.622,4035.842,2026-06-29 19:26:12,4014.758,sl 4014.752,15.86,515.86,5.220000000000255,3.0383141762450623,136.2,4014.752,True,sl,swing_confirm_E1
cmpE1is_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-06-30 13:05:00,BUY,4016.445,4004.428,2026-06-30 13:24:37,4021.44,sl 4021.493,4.99,520.85,12.01700000000028,0.4152450694848867,19.616666666666667,4021.493,True,sl,swing_confirm_E1
cmpE1is_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-01 08:20:00,SELL,3982.508,3986.428,2026-07-01 09:49:30,3985.181,sl 3985.141,-2.67,518.18,3.9200000000000728,-0.6811224489795792,89.5,3985.141,True,sl,swing_confirm_E1
cmpE1is_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-02 11:15:00,BUY,4063.441,4054.069,2026-07-02 12:14:12,4063.002,sl 4063.039,-0.44,517.74,9.371999999999844,-0.0469483568075125,59.2,4063.039,True,sl,swing_confirm_E1
cmpE1is_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-03 13:20:00,BUY,4169.842,4161.652,2026-07-03 14:00:31,4162.817,sl 4162.898,-7.02,510.72,8.1899999999996,-0.857142857142899,40.516666666666666,4162.898,True,sl,swing_confirm_E1
