config,signal_tf,trades,wins,win_rate,net,pf,avg_win,avg_loss
v1.11_baseline,H1,39.0,9.0,23.076923076923077,-226.04424547647116,0.4464039392677936,20.25284193597956,-13.610660763342908
v1.11_baseline,M15,115.0,27.0,23.47826086956522,-277.1841123661393,0.5737860334203914,13.82059897512313,-7.390230507891635
v1.11_baseline,M30,77.0,18.0,23.376623376623375,-274.1876753408982,0.5432624032280584,18.118336131679428,-10.17487670696827
v1.12_fixed,H1,60.0,23.0,38.333333333333336,-252.09832017969666,0.6165372823954235,17.622938019720916,-17.76826742252102
v1.12_fixed,M15,160.0,59.0,36.875,-336.16257741780464,0.5846699903349725,8.02074749285021,-8.01372949996007
v1.12_fixed,M30,82.0,26.0,31.70731707317073,-322.66081497005393,0.4887071791402837,11.861835653120758,-11.269081106271317
v1.12_fixed_conservative,H1,4.0,0.0,0.0,-100.41411632934481,0.0,0.0,-25.103529082336202
v1.12_fixed_conservative,M15,23.0,4.0,17.391304347826086,-167.78248010989702,0.20249734109971787,10.650593363607413,-11.072887029701404
v1.12_fixed_conservative,M30,6.0,3.0,50.0,18.57409915081919,1.5951170194183237,16.594978079433762,-10.403611695827367
