weekday,trades,wins,net,win_rate
Friday,5,2,-26.588680703305553,40.0
Monday,175,64,-480.32400880840146,36.57142857142857
Thursday,7,3,-25.08673820620407,42.857142857142854
Tuesday,97,35,-225.94727879649318,36.08247422680412
Wednesday,18,4,-152.975006053151,22.22222222222222
