run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 00:00:00,SELL,4423.16,4428.382,2026-09-07 00:17:45,4428.456,sl 4428.382,-5.3,94.7,5.221999999999753,-1.0149368058215724,17.75,4428.382,False,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 00:45:00,SELL,4423.906,4429.63,2026-09-07 00:48:32,4429.659,sl 4429.630,-5.75,88.95,5.72400000000016,-1.0045422781271558,3.533333333333333,4429.63,False,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 01:00:00,SELL,4412.811,4419.774,2026-09-07 01:27:52,4402.649,sl 4402.558,10.16,99.11,6.963000000000648,1.4591411747808496,27.866666666666667,4402.558,True,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 02:30:00,SELL,4407.601,4417.147,2026-09-07 02:37:54,4417.213,sl 4417.147,-9.61,89.5,9.546000000000276,-1.0067043787973728,7.9,4417.147,False,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 02:45:00,SELL,4414.78,4425.013,2026-09-07 05:27:48,4407.995,sl 4407.874,6.78,96.28,10.233000000000175,0.6625622984461922,162.8,4407.874,True,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 05:30:00,SELL,4410.889,4418.129,2026-09-07 06:04:18,4386.716,,24.17,120.45,7.239999999999782,3.3383977900553496,34.3,,False,other
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 06:15:00,SELL,4391.959,4399.834,2026-09-07 06:42:38,4399.928,sl 4399.834,-7.97,112.48,7.875,-1.012063492063492,27.633333333333333,4399.834,False,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 06:45:00,SELL,4396.441,4404.126,2026-09-07 07:55:47,4403.082,sl 4403.041,-6.64,105.84,7.6850000000004,-0.8640208197787448,70.78333333333333,4403.041,True,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 08:00:00,SELL,4406.238,4414.966,2026-09-07 08:03:05,4414.997,sl 4414.966,-8.76,97.08,8.728000000000065,-1.0036663611365644,3.0833333333333335,4414.966,False,sl
2026-09-07_to_2026-09-10__H1visual,"2026-09-07 (Mon-Thu, prior run)",H1visual,2026-09-07 08:15:00,SELL,4417.063,4426.11,2026-09-07 10:34:32,4394.011,,23.05,120.13,9.04699999999957,2.54780590250924,139.53333333333333,,False,other
