run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,volume,n_exits,swap_comm,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmp_ctxoff_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 14:00:00,BUY,4318.337,4313.675,2026-08-10 18:31:23,4371.635,,53.3,5053.3,0.01,1,0.0,4.662000000000262,11.43286143286079,271.3833333333333,,False,other,swing
cmp_ctxoff_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-11 05:00:00,BUY,4408.968,4399.131,2026-08-11 05:17:05,4399.131,sl 4399.131,-9.84,5043.46,0.01,1,0.0,9.836999999999534,-1.0003049710277998,17.083333333333332,4399.131,False,sl,swing
cmp_ctxoff_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-12 10:50:00,BUY,4409.54,4403.875,2026-08-12 11:29:12,4416.327,sl 4416.335,6.79,5050.25,0.01,1,0.0,5.664999999999964,1.198587819947051,39.2,4416.335,True,sl,swing
cmp_ctxoff_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-12 12:10:00,BUY,4407.482,4403.561,2026-08-12 12:30:02,4432.165,,24.69,5074.94,0.01,1,0.0,3.9210000000002765,6.296863045141102,20.033333333333335,,False,other,swing
cmp_ctxoff_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-13 04:30:00,BUY,4398.221,4387.782,2026-08-13 05:43:59,4387.754,sl 4387.782,-10.47,5064.47,0.01,1,0.0,10.438999999999396,-1.0029696331066775,73.98333333333333,4387.782,False,sl,swing
cmp_ctxoff_swing_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-14 18:05:00,BUY,4381.324,4372.654,2026-08-14 18:45:27,4372.587,sl 4372.654,-8.73,5055.74,0.01,1,0.0,8.669999999999163,-1.0069204152250106,40.45,4372.654,False,sl,swing
