hour,trades,wins,win_rate,net,pf,avg_win,avg_loss
0,52.0,16.0,30.76923076923077,-74.71000000000001,0.7123108321460203,11.561250000000001,-7.213611111111111
1,44.0,22.0,50.0,80.60000000000001,1.4740339940010583,11.392272727272724,-7.7286363636363635
2,24.0,6.0,25.0,-147.14999999999998,0.25007644480684943,8.178333333333333,-10.901111111111112
3,12.0,6.0,50.0,-3.4200000000000026,0.9410852713178294,9.104999999999999,-9.674999999999999
4,9.0,1.0,11.11111111111111,-40.32,0.3897381565006811,25.75,-8.25875
5,21.0,6.0,28.57142857142857,-91.16999999999999,0.2063201880386524,3.9499999999999997,-7.6579999999999995
6,28.0,12.0,42.857142857142854,54.1,1.7144743792921289,10.818333333333333,-4.7325
7,11.0,5.0,45.45454545454545,20.0,1.4358247984310306,13.178,-7.648333333333333
8,24.0,13.0,54.166666666666664,119.24000000000001,2.3644581759926764,15.894615384615385,-7.944545454545454
9,20.0,4.0,20.0,-110.81,0.2678559629996696,10.135,-9.459375000000001
10,13.0,2.0,15.384615384615385,-76.44999999999999,0.15356510186005315,6.935,-8.210909090909091
11,19.0,6.0,31.57894736842105,3.7300000000000066,1.0455934482337121,14.256666666666666,-6.2930769230769235
12,32.0,19.0,59.375,278.12,4.125646212632052,19.321052631578947,-6.844615384615384
13,37.0,10.0,27.027027027027028,-129.82,0.41912389816099166,9.367,-8.277407407407408
14,31.0,14.0,45.16129032258064,65.35999999999999,1.3860602480803306,16.76142857142857,-9.958823529411765
15,19.0,6.0,31.57894736842105,-63.60000000000001,0.5860183557898847,15.005,-11.81769230769231
16,12.0,5.0,41.66666666666667,6.409999999999993,1.0955717906664677,14.696000000000002,-9.581428571428573
17,11.0,4.0,36.36363636363637,19.67999999999999,1.32964824120603,19.845,-8.528571428571428
18,12.0,2.0,16.666666666666664,-94.91000000000001,0.09652546406473107,5.07,-10.505
19,21.0,13.0,61.904761904761905,153.22,3.5023681202025148,16.496153846153845,-7.6537500000000005
20,5.0,1.0,20.0,13.46,1.7415977961432507,31.61,-4.5375
22,12.0,3.0,25.0,-50.81,0.16936406735327778,3.4533333333333336,-6.796666666666666
23,12.0,3.0,25.0,-2.2900000000000063,0.9623664749383729,19.52,-6.761111111111111
