run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,volume,n_exits,swap_comm,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmpr2B2_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-22 14:40:00,BUY,4191.502,4182.927,2026-06-22 15:19:29,4190.554,sl 4190.576,-4.74,4995.26,0.05,1,0.0,42.87500000000364,-0.1105539358600489,39.48333333333333,4190.576,True,sl,B2
cmpr2B2_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-23 13:50:00,SELL,4130.978,4138.926,2026-06-23 13:53:23,4138.941,sl 4138.926,-47.78,4947.48,0.06,1,0.0,47.68800000000192,-1.001929206508935,3.3833333333333333,4138.926,False,sl,B2
cmpr2B2_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-24 20:20:00,SELL,3993.112,4010.341,2026-06-24 23:33:42,4005.364,sl 4005.210,-24.51,4922.97,0.02,1,0.0,34.45799999999963,-0.711300713912597,193.7,4005.21,True,sl,B2
cmpr2B2_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-25 08:25:00,SELL,3997.076,4007.012,2026-06-25 11:43:15,3986.052,sl 3985.939,44.09,4967.06,0.04,1,0.0,39.7440000000006,1.1093498389693877,198.25,3985.939,True,sl,B2
cmpr2B2_swing_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-26 07:05:00,SELL,4029.262,4038.544,2026-06-26 07:28:09,4038.765,sl 4038.544,-47.52,4919.54,0.05,1,0.0,46.40999999999849,-1.0239172592114103,23.15,4038.544,False,sl,B2
cmpr2B2_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-06-29 17:10:00,SELL,4030.622,4035.842,2026-06-29 19:26:12,4014.758,sl 4014.752,142.78,5142.78,0.09,1,0.0,46.98000000000229,3.039165602383845,136.2,4014.752,True,sl,B2
cmpr2B2_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-06-30 13:05:00,BUY,4016.445,4004.428,2026-06-30 13:24:37,4021.44,sl 4021.493,19.98,5162.76,0.04,1,0.0,48.06800000000112,0.4156611467088195,19.616666666666667,4021.493,True,sl,B2
cmpr2B2_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-01 08:20:00,SELL,3982.508,3986.428,2026-07-01 09:49:30,3985.181,sl 3985.141,-34.75,5128.01,0.13,1,0.0,50.96000000000095,-0.6819073783359371,89.5,3985.141,True,sl,B2
cmpr2B2_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-02 11:15:00,BUY,4063.441,4054.069,2026-07-02 12:14:12,4063.002,sl 4063.039,-2.2,5125.81,0.05,1,0.0,46.85999999999922,-0.0469483568075125,59.2,4063.039,True,sl,B2
cmpr2B2_swing_2026-06-29__M15sig,2026-06-29,M15sig,2026-07-03 13:20:00,BUY,4169.842,4161.652,2026-07-03 14:00:31,4162.817,sl 4162.898,-42.15,5083.66,0.06,1,0.0,49.1399999999976,-0.8577533577533997,40.516666666666666,4162.898,True,sl,B2
cmpr2B2_swing_2026-07-06__M15sig,2026-07-06,M15sig,2026-07-06 02:40:00,BUY,4173.658,4164.594,2026-07-06 03:20:12,4164.543,sl 4164.594,-45.57,4954.43,0.05,1,0.0,45.32000000000153,-1.0055163283318285,40.2,4164.594,False,sl,B2
