run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 00:00:00,BUY,4332.84,4325.683,2026-08-10 00:33:39,4335.774,sl 4335.799,2.93,502.93,7.157000000000153,0.4093894089702302,33.65,4335.799,True,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 00:45:00,BUY,4334.808,4327.093,2026-08-10 01:00:11,4327.04,sl 4327.093,-7.77,495.16,7.7150000000001455,-1.0071289695398384,15.183333333333334,4327.093,False,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 01:30:00,BUY,4316.666,4307.409,2026-08-10 03:00:56,4318.439,sl 4318.443,1.77,496.93,9.257000000000517,0.19120665442366871,90.93333333333334,4318.443,True,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 03:15:00,BUY,4320.183,4310.69,2026-08-10 05:34:50,4340.965,,20.79,517.72,9.493000000000393,2.190034762456456,139.83333333333334,,False,other,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 05:45:00,BUY,4343.681,4336.334,2026-08-10 08:33:45,4349.615,sl 4349.799,5.94,523.66,7.346999999999753,0.8084932625561726,168.75,4349.799,True,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 09:30:00,BUY,4347.294,4340.312,2026-08-10 09:36:21,4340.261,sl 4340.312,-7.03,516.63,6.981999999999971,-1.0068748209682081,6.35,4340.312,False,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 10:00:00,BUY,4341.23,4334.53,2026-08-10 11:04:55,4334.391,sl 4334.530,-6.84,509.79,6.699999999999818,-1.0208955223880873,64.91666666666667,4334.53,False,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 11:30:00,BUY,4334.777,4329.039,2026-08-10 12:16:05,4330.426,sl 4330.596,-4.35,505.44,5.738000000000284,-0.7581038689438453,46.083333333333336,4330.596,True,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 13:30:00,BUY,4335.139,4328.464,2026-08-10 13:46:00,4329.452,sl 4329.523,-5.69,499.75,6.675000000000182,-0.8524344569288158,16.0,4329.523,True,sl,breakout
cmp_breakout_2026-08-10__M15sig,2026-08-10,M15sig,2026-08-10 14:00:00,BUY,4318.337,4310.369,2026-08-10 14:26:04,4343.73,,25.39,525.14,7.968000000000757,3.1864959839354405,26.066666666666666,,False,other,breakout
