run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,volume,n_exits,swap_comm,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmpr3valB2_swing_2026-03-02__M15sig,2026-03-02,M15sig,2026-03-03 18:45:00,SELL,5133.09,5154.479,2026-03-03 23:08:10,5115.201,sl 5115.134,35.78,5035.78,0.02,1,0.0,42.77800000000025,0.836411239422128,263.1666666666667,5115.134,True,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-02__M15sig,2026-03-02,M15sig,2026-03-04 01:30:00,SELL,5146.98,5172.603,2026-03-04 01:48:13,5167.184,sl 5167.163,-20.2,5015.58,0.01,1,0.0,25.623000000000506,-0.7883542130117318,18.216666666666665,5167.163,True,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-02__M15sig,2026-03-02,M15sig,2026-03-04 14:50:00,BUY,5155.95,5136.583,2026-03-04 15:11:19,5136.21,sl 5136.583,-39.48,4976.1,0.02,1,0.0,38.73400000000038,-1.0192595652398309,21.316666666666663,5136.583,False,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-02__M15sig,2026-03-02,M15sig,2026-03-06 14:05:00,SELL,5089.348,5109.217,2026-03-06 14:29:04,5109.267,sl 5109.217,-39.83,4936.27,0.02,1,0.0,39.737999999999374,-1.0023151643263533,24.066666666666663,5109.217,False,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-09__M15sig,2026-03-09,M15sig,2026-03-11 07:40:00,BUY,5187.174,5181.663,2026-03-11 08:25:54,5185.603,sl 5185.643,-14.14,4985.86,0.09,1,0.0,49.5990000000038,-0.2850863928708022,45.9,5185.643,True,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-09__M15sig,2026-03-09,M15sig,2026-03-11 20:05:01,SELL,5179.669,5187.874,2026-03-11 22:45:42,5163.343,sl 5163.278,107.21,5093.07,0.06,2,0.0,49.22999999999956,2.1777371521430213,160.68333333333334,5163.278,True,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-09__M15sig,2026-03-09,M15sig,2026-03-12 12:05:00,BUY,5174.742,5171.179,2026-03-12 12:06:05,5171.169,sl 5171.179,-50.02,5043.05,0.14,1,0.0,49.88200000000143,-1.002766529008431,1.0833333333333333,5171.179,False,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-09__M15sig,2026-03-09,M15sig,2026-03-13 12:10:00,SELL,5109.95,5122.966,2026-03-13 12:46:08,5120.782,sl 5120.460,-32.5,5010.55,0.03,1,0.0,39.04800000000159,-0.8323089530833506,36.13333333333333,5120.46,True,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-16 00:35:00,SELL,5030.533,5037.697,2026-03-16 01:12:14,5009.818,sl 5009.588,124.57,5124.57,0.06,2,0.0,42.98399999999856,2.8980550902662423,37.23333333333333,5009.588,True,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-16 06:35:00,SELL,5025.039,5041.671,2026-03-16 08:24:37,5002.987,sl 5002.886,66.16,5190.73,0.03,1,0.0,49.89600000000155,1.325957992624618,109.61666666666666,5002.886,True,sl,val_B2_trail_m15
cmpr3valB2_swing_2026-03-16__M15sig,2026-03-16,M15sig,2026-03-17 13:45:00,SELL,5027.108,5035.128,2026-03-17 14:08:39,5020.933,sl 5020.696,37.05,5227.78,0.06,1,0.0,48.11999999999716,0.7699501246883247,23.65,5020.696,True,sl,val_B2_trail_m15
